Year,1st Conscription,2nd Conscription,Total Conscription
2008,133200,219000,352200
2009,305560,271020,576580
2010,270600,278821,549421
2011,218720,135850,354570
2012,155570,140140,295710
2013,150000,153200,303200
2014,155570,140140,308000
2015,150150,147100,297250
2016,155000,152000,307000
2017,142000,134000,276000
2018,128000,132500,260500
2019,135000,132000,267000
2020,135000,128000,263000
2021,134650,127500,262150
2022,134500,120000,254500
2023,147000,130000,277000
2024,150000,133000,283000
2025,160000,135000,295000
2026,261000,261000,261000
