month,time,invasion,it_deferment,mobilization,student_deferment,digital_draft,age_expansion,year_round
2017-01,1,0,0,0,0,0,0,0
2017-02,2,0,0,0,0,0,0,0
2017-03,3,0,0,0,0,0,0,0
2017-04,4,0,0,0,0,0,0,0
2017-05,5,0,0,0,0,0,0,0
2017-06,6,0,0,0,0,0,0,0
2017-07,7,0,0,0,0,0,0,0
2017-08,8,0,0,0,0,0,0,0
2017-09,9,0,0,0,0,0,0,0
2017-10,10,0,0,0,0,0,0,0
2017-11,11,0,0,0,0,0,0,0
2017-12,12,0,0,0,0,0,0,0
2018-01,13,0,0,0,0,0,0,0
2018-02,14,0,0,0,0,0,0,0
2018-03,15,0,0,0,0,0,0,0
2018-04,16,0,0,0,0,0,0,0
2018-05,17,0,0,0,0,0,0,0
2018-06,18,0,0,0,0,0,0,0
2018-07,19,0,0,0,0,0,0,0
2018-08,20,0,0,0,0,0,0,0
2018-09,21,0,0,0,0,0,0,0
2018-10,22,0,0,0,0,0,0,0
2018-11,23,0,0,0,0,0,0,0
2018-12,24,0,0,0,0,0,0,0
2019-01,25,0,0,0,0,0,0,0
2019-02,26,0,0,0,0,0,0,0
2019-03,27,0,0,0,0,0,0,0
2019-04,28,0,0,0,0,0,0,0
2019-05,29,0,0,0,0,0,0,0
2019-06,30,0,0,0,0,0,0,0
2019-07,31,0,0,0,0,0,0,0
2019-08,32,0,0,0,0,0,0,0
2019-09,33,0,0,0,0,0,0,0
2019-10,34,0,0,0,0,0,0,0
2019-11,35,0,0,0,0,0,0,0
2019-12,36,0,0,0,0,0,0,0
2020-01,37,0,0,0,0,0,0,0
2020-02,38,0,0,0,0,0,0,0
2020-03,39,0,0,0,0,0,0,0
2020-04,40,0,0,0,0,0,0,0
2020-05,41,0,0,0,0,0,0,0
2020-06,42,0,0,0,0,0,0,0
2020-07,43,0,0,0,0,0,0,0
2020-08,44,0,0,0,0,0,0,0
2020-09,45,0,0,0,0,0,0,0
2020-10,46,0,0,0,0,0,0,0
2020-11,47,0,0,0,0,0,0,0
2020-12,48,0,0,0,0,0,0,0
2021-01,49,0,0,0,0,0,0,0
2021-02,50,0,0,0,0,0,0,0
2021-03,51,0,0,0,0,0,0,0
2021-04,52,0,0,0,0,0,0,0
2021-05,53,0,0,0,0,0,0,0
2021-06,54,0,0,0,0,0,0,0
2021-07,55,0,0,0,0,0,0,0
2021-08,56,0,0,0,0,0,0,0
2021-09,57,0,0,0,0,0,0,0
2021-10,58,0,0,0,0,0,0,0
2021-11,59,0,0,0,0,0,0,0
2021-12,60,0,0,0,0,0,0,0
2022-01,61,0,0,0,0,0,0,0
2022-02,62,1,0,0,0,0,0,0
2022-03,63,1,0,0,0,0,0,0
2022-04,64,1,1,0,0,0,0,0
2022-05,65,1,1,0,0,0,0,0
2022-06,66,1,1,0,0,0,0,0
2022-07,67,1,1,0,0,0,0,0
2022-08,68,1,1,0,0,0,0,0
2022-09,69,1,1,1,1,0,0,0
2022-10,70,1,1,1,1,0,0,0
2022-11,71,1,1,1,1,0,0,0
2022-12,72,1,1,1,1,0,0,0
2023-01,73,1,1,1,1,0,0,0
2023-02,74,1,1,1,1,0,0,0
2023-03,75,1,1,1,1,0,0,0
2023-04,76,1,1,1,1,1,0,0
2023-05,77,1,1,1,1,1,0,0
2023-06,78,1,1,1,1,1,0,0
2023-07,79,1,1,1,1,1,0,0
2023-08,80,1,1,1,1,1,0,0
2023-09,81,1,1,1,1,1,0,0
2023-10,82,1,1,1,1,1,0,0
2023-11,83,1,1,1,1,1,0,0
2023-12,84,1,1,1,1,1,0,0
2024-01,85,1,1,1,1,1,1,0
2024-02,86,1,1,1,1,1,1,0
2024-03,87,1,1,1,1,1,1,0
2024-04,88,1,1,1,1,1,1,0
2024-05,89,1,1,1,1,1,1,0
2024-06,90,1,1,1,1,1,1,0
2024-07,91,1,1,1,1,1,1,0
2024-08,92,1,1,1,1,1,1,0
2024-09,93,1,1,1,1,1,1,0
2024-10,94,1,1,1,1,1,1,0
2024-11,95,1,1,1,1,1,1,0
2024-12,96,1,1,1,1,1,1,0
2025-01,97,1,1,1,1,1,1,0
2025-02,98,1,1,1,1,1,1,0
2025-03,99,1,1,1,1,1,1,0
2025-04,100,1,1,1,1,1,1,0
2025-05,101,1,1,1,1,1,1,0
2025-06,102,1,1,1,1,1,1,0
2025-07,103,1,1,1,1,1,1,0
2025-08,104,1,1,1,1,1,1,0
2025-09,105,1,1,1,1,1,1,1
2025-10,106,1,1,1,1,1,1,1
2025-11,107,1,1,1,1,1,1,1
